description,image_id,label_eng,label_ka,notes,sort_ja,id
nan,"[45152, 45154, 45156, 45158, 45160, 45161, 45162, 45292, 45294, 45365, 46735, 47094, 47095, 47096, 47097, 47098, 47099, 47100, 47101, 47102, 47103, 47458, 47460, 47461, 47472, 47504, 47505, 47506, 47510, 47512, 47515, 47516, 47681, 47682, 47683, 47685, 50956, 50957, 50958, 50959, 50960, 50961, 50962, 52147, 52148, 52149, 52150, 52151, 52162, 52163, 52165, 52166, 52167, 52168, 52169, 52170, 52171, 52172, 52173, 52174, 52175, 52176, 52177, 52178, 52179, 52180, 52181, 52182, 52183, 52184, 55912, 55955, 56580, 56581, 56582, 56583, 56584, 56585, 56586, 56587, 56588, 56589, 56590, 56591, 56592, 56593, 56594, 56595, 56596, 56597, 56598, 56599, 56600, 56601, 56602, 56603, 56604, 56605, 56606, 56607, ...]",Tour,ツアー,,つあー,23
nan,"[8311, 8324, 8325, 8326, 8327, 8328, 8332, 8335, 8336, 8339, 8343, 8355, 8356, 8358, 8369, 8370, 9057, 9058, 9059, 9120, 9121, 9122, 9123, 9133, 9134, 9151, 9165, 9166, 9167, 9177, 9178, 9179, 9180, 9181, 9182, 9183, 9184, 10010, 10012, 10013, 10055, 10057, 10059, 10060, 10061, 10062, 10064, 10065, 10066, 10067, 10068, 10069, 10070, 10071, 10072, 10073, 10074, 10077, 10078, 10082, 10083, 10896, 10981, 10982, 10983, 10999, 11000, 11001, 11106, 11108, 11109, 11110, 11111, 11112, 11159, 11160, 11161, 11457, 11458, 11476, 11478, 12063, 12064, 12065, 12216, 12217, 12218, 12219, 12220, 12221, 12224, 12225, 12226, 12227, 12238, 12239, 12240, 12241, 12242, 12243, ...]",Animal,動物,,どうぶつ,24
nan,"[44995, 45219, 45220, 46729, 47495, 47496, 47497, 47498, 47499, 47500, 47501, 47502, 47507, 52683, 52684, 52685, 53066, 53423, 54626, 54888, 57980, 57988, 57989, 58231, 58232, 61133]","Yonetani Eijirō, Properties",よねたにえいじろう,,よねたにえいじろう,25
nan,"[9057, 9058, 9059, 9120, 9121, 9122, 9123, 9133, 9134, 9151, 9152, 9153, 9154, 9155, 9156, 9157, 9158, 9159, 9160, 9161, 9162, 9163, 9164, 9165, 9166, 9167, 9168, 9169, 9170, 9171, 9172, 9173, 9174, 9175, 9176, 9177, 9178, 9179, 9180, 9181, 9182, 9183, 9184, 9190, 9191, 9192, 9193, 12358, 12359, 12382, 12383, 12384, 12385, 12387, 12388, 12429, 12430, 12435, 12436, 12437, 12761, 12762, 12763, 12771, 12772, 12773, 12774, 12775, 12776, 12777, 12778, 12779, 12780, 12781, 12782, 12783, 12784, 12785, 12786, 12787, 12788, 12789, 12790, 12859, 12860, 12861, 12916, 12917, 12918, 12919, 12920, 12921, 12922, 12923, 12924, 12925, 12926, 12927, 12928, 12929, ...]",Fox,狐,See also Animal.,きつね,26
Headgrip to which neck and head of puppet are permanently attached and from which toggles protrude.,"[44994, 44999, 45000, 45030, 45044, 45049, 45222, 45224, 45226, 45227, 45228, 45232, 45234, 45235, 45236, 45269, 45282, 45709, 45713, 45716, 45928, 45938, 46047, 46157, 46158, 46160, 46728, 46734, 46804, 46819, 46820, 47473, 47474, 47475, 47476, 47477, 47619, 47620, 47621, 47622, 47623, 47624, 47638, 47639, 47640, 47641, 47642, 47643, 47644, 47650, 47670, 47672, 47673, 47674, 48444, 48845, 49029, 49030, 49031, 49666, 49667, 49668, 49669, 55976, 55979, 55989, 55990, 55993, 55995, 55998, 56012, 56013, 60731, 61518, 61644, 61645, 64475, 64499, 64500]",Dōgushi [headgrip],胴串,,どうぐし,27
nan,"[44980, 44993, 44999, 45030, 45071, 45113, 45230, 45238, 45242, 45248, 45294, 45318, 45710, 45713, 45716, 45926, 46015, 46017, 46035, 46037, 46042, 46155, 46156, 46157, 46158, 46159, 46487, 46489, 46491, 46493, 46495, 46521, 46733, 46759, 46781, 46782, 46821, 46833, 46836, 46861, 46899, 47069, 47070, 47071, 47073, 47074, 47446, 47447, 47448, 47453, 47625, 47626, 47627, 47628, 47629, 47630, 47653, 47678, 47679, 47685, 47853, 47854, 48440, 48441, 48455, 48466, 48467, 49231, 49232, 49235, 49265, 49266, 49267, 49268, 49269, 49270, 49647, 49648, 49655, 49656, 49657, 49658, 49670, 49671, 49672, 49673, 49676, 49677, 50912, 50913, 50925, 50926, 50927, 50928, 50989, 50990, 50991, 52160, 52211, 52459, ...]",Arm,手,,て,28
nan,"[44980, 44983, 45001, 45010, 45057, 45058, 45071, 45238, 45240, 45264, 45288, 45294, 45312, 45318, 46015, 46017, 46031, 46033, 46042, 46043, 46045, 46047, 46155, 46156, 46158, 46495, 46567, 46717, 46718, 46733, 46833, 46835, 46837, 46861, 47072, 47148, 47151, 47152, 47153, 47154, 47155, 47156, 47158, 47168, 47204, 47438, 47439, 47577, 47579, 47580, 47647, 47682, 47683, 47853, 47854, 47882, 47883, 47884, 48440, 49231, 49233, 49234, 49257, 49260, 49261, 49279, 49280, 49281, 49282, 49283, 49287, 49288, 49651, 49652, 49653, 49654, 49655, 49656, 49657, 49658, 49674, 49675, 50928, 51100, 52470, 52474, 52475, 52482, 52483, 52484, 52485, 52486, 52828, 55915, 55916, 55981, 55997, 56446, 57318, 57319, ...]",Leg,足,,あし,29
nan,"[44979, 44983, 44984, 45007, 45114, 45116, 45258, 45260, 45261, 45262, 45264, 45266, 45290, 46039, 46041, 46043, 46045, 46047, 46503, 46519, 46537, 46539, 46541, 46713, 46717, 46718, 46726, 46727, 46742, 46836, 46837, 46900, 46902, 47041, 47042, 47043, 47044, 47137, 47139, 47140, 47141, 47142, 47143, 47144, 47145, 47146, 47147, 47148, 47149, 47150, 47151, 47152, 47153, 47154, 47155, 47156, 47157, 47158, 47159, 47174, 47175, 47176, 47197, 47198, 47199, 47200, 47201, 47202, 47203, 47204, 47413, 47414, 47415, 47416, 47417, 47418, 47419, 47420, 47421, 47422, 47423, 47431, 47432, 47685, 49273, 49274, 49275, 49276, 49277, 49289, 49290, 50943, 50944, 50945, 50946, 50947, 50983, 50984, 50985, 50986, ...]",Costume,衣装,,いしょう,30
nan,"[44982, 44994, 44997, 45268, 45304, 45445, 46713, 46716, 46728, 46738, 47104, 47105, 47459, 47462, 47558, 47559, 47560, 47561, 47562, 47563, 47700, 47701, 60712, 60713, 61127, 61187, 61272, 61672]","Mochizuki Taishirō, Offstage Musician",もちづきたいしろう,,もちづきたいしろう,31
nan,"[8591, 9555, 9556, 9557, 9558, 9559, 9560, 9561, 9562, 9563, 9564, 11300, 11301, 11302, 11304, 11307, 11308, 11312, 11479, 11480, 11586, 11587, 11588, 11589, 11590, 11591, 11627, 11628, 11629, 11631, 11632, 11634, 11635, 11637, 44981, 45016, 45045, 45046, 45057, 45061, 45078, 45116, 45300, 45301, 45302, 45367, 45453, 45461, 46021, 46023, 46027, 46084, 46086, 46092, 46206, 46515, 46517, 46525, 46533, 46535, 46626, 46667, 46669, 46698, 46700, 46704, 46706, 46712, 46715, 46757, 46761, 46764, 46765, 46809, 46833, 46834, 46843, 46868, 46902, 46913, 46914, 46933, 46934, 46936, 46937, 47025, 47091, 47094, 47095, 47096, 47097, 47098, 47099, 47100, 47101, 47102, 47103, 48117, 48907, 48908, ...]",Set Construction,大道具造り,,おおどうぐづくり,32
