play_id,label_ja,label_ja_sort,label_ka,sort_ja,label_eng,label_eng_sort,first_staged,reference
178,Kōjō (Rokusei Tsuruzawa Kanji tsuizen kōjō),Kojo (Rokusei Tsuruzawa Kanji tsuizen kojo),口上(六世鶴澤寛治追善),こうじょうろくせいつるざわかんじついぜん,Announcement of the current performance being dedicated to the memory of Kanji Tsuruzawa VI,Announcement of the current performance being dedicated to the memory of Kanji Tsuruzawa VI,,Bunraku May 1979 Performance Program
179,Kōjō (Datejidayū aratame Gosei Takemoto Datedayū shūmei hirō),Kojo (Datejidayu aratame Gosei Takemoto Datedayu shumei hiro),口上(伊達路大夫改め五世竹本伊達大夫襲名披露),こうじょうだてじだゆうあらためごせいたけもとだてだゆうしゅうめいひろう,"Announcement of the assumption of his new stage name, Datedayū Takemoto V, by Datejidayū Takemoto","Announcement of the assumption of his new stage name, Datedayū Takemoto V, by Datejidayu Takemoto",,Bunraku April 1988 Performance Program
180,Kōjō (Yondai Takemoto Koshijidayū intai hirō),Kojo (Yondai Takemoto Koshijidayu intai hiro),口上(四代竹本越路大夫引退披露),こうじょうよんだいたけもとこしじだゆういんたいひろう,Announcement of Koshijidayū Takemoto IV's retirement,Announcement of Koshijidayu Takemoto IV's retirement,,Bunraku April 1989 Performance Program
181,Kōjō (Takemoto Oritayū aratame Kyūdai Takemoto Tsunatayū shūmei hirō),Kojo (Takemoto Oritayu aratame Kyudai Takemoto Tsunatayu shumei hiro),口上(竹本織大夫改め九代竹本綱大夫襲名披露),こうじょうたけもとおりたゆうあらためきゅうだいたけもとつなたゆうしゅうめいひろう,"Announcement of the assumption of his new name, Tsunatayū Takemoto IX, by Oritayū Takemoto","Announcement of the assumption of his new name, Tsunatayu Takemoto IX, by Oritayu Takemoto",,Bunraku January 1996 Performance Program
182,Kōjō (Nozawa Kinya aratame Gosei Nozawa Kinshi shūmei hirō),Kojo (Nozawa Kinya aratame Gosei Nozawa Kinshi shumei hiro),口上(野沢錦弥改め五世野沢錦糸襲名披露),こうじょうのざわきんやあらためごせいのざわきんししゅうめいひろう,"Announcement of the assumption of his new name, Kinshi Nozawa V, by Kinya Nozawa","Announcement of the assumption of his new name, Kinshi Nozawa V, by Kinya Nozawa",,Bunraku May 1998 Performance Program
183,Kōjō (Nisei Kiritake Kanjūrō jūsankaiki tsuizen),Kojo (Nisei Kiritake Kanjuro jusankaiki tsuizen),口上(二世桐竹勘十郎十三回忌追善）,こうじょうにせいきりたけかんじゅうろうじゅうさんかいきついぜん,Announcement of the current performance being dedicated to the memory of Kanjūrō Kiritake II,Announcement of the current performance being dedicated to the memory of Kanjuro Kiritake II,,Bunraku September 1998 Performance Program
184,Shitakiri suzume,Shitakiri suzume,舌切雀,したきりすずめ,The Tongue-Cut Sparrow,"Tongue-Cut Sparrow, The",[n.d.],Bunraku July/August 2002 Performance Program
185,Bunraku no ohanashi,Bunraku no ohanashi,文楽のおはなし,ぶんらくのおはなし,Bunraku no ohanashi (Introduction to Bunraku),Bunraku no ohanashi (Introduction to Bunraku),[n.d.],English title not available in any publications. Staged at July 2002 Bunraku performance; No English title available
186,Onna no heiwa,Onna no heiwa,女の平和,おんなのへいわ,Onna no heiwa (Lysistrata),Onna no heiwa (Lysistrata),[n.d.],English title not available in any publications. Staged at February 1973 Bunkyō Public Hall performance; No English title available
187,Kōjō (Yoshida Minotarō aratame Sansei Kiritake Kanjūrō shūmei hirō),Kojo (Yoshida Minotaro aratame Sansei Kiritake Kanjuro shumei hiro),口上(吉田簑太郎改め三世桐竹勘十郎襲名披露),こうじょうよしだみのたろうあらためさんせいきりたけかんじゅうろうしゅうめいひろう,"Announcement of the assumption of his new name, Kanjūrō Kiritake III, by Minotarō Yoshida","Announcement of the assumption of his new name, Kanjuro Kiritake III, by Minotaro Yoshida",,Bunraku May 2003 Performance Program [from Bunka dejitaru raiburarii]
188,Kōjō (Tokutarō aratame Nisei Tsuruzawa Dōhachi shūmei hirō),Kojo (Tokutaro aratame Nisei Tsuruzawa Dohachi shumei hiro),口上(徳太郎改め二世鶴澤道八襲名披露口上),こうじょうとくたろうあらためにせいつるざわどうはちしゅうめいひろう,Announcement on the assumption of his new stage name of Tsuruzawa Dōhachi II by Tokutarō Tsuruzawa,Announcement on the assumption of his new stage name of Tsuruzawa Dōhachi II by Tokutarō Tsuruzawa,,"Bunraku April 1970, May 1970 Performance Programs"
