play_id,label_ja,label_ja_sort,label_ka,sort_ja,label_eng,label_eng_sort,first_staged,reference
113,Yūgiri Awa no Naruto,Yugiri Awa no Naruto,夕霧阿波鳴渡,ゆうぎりあわのなると,The Courtesan Yugiri,"Courtesan Yugiri, The",1712,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 259, February 1987; Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1987 Performance Program"
114,Hadekurabe Ise monogatari,Hadekurabe Ise monogatari,競伊勢物語,はでくらべいせものがたり,The Tales of Ise,"Tales of Ise, The",1775,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 265, September 1987; Bunraku July 1987 Performance Program"
115,Chō no michiyuki,Cho no michiyuki,蝶の道行,ちょうのみちゆき,The Travelling Butterflies,"Travelling Butterflies, The",1784,Bunraku April 1974 Performance Program
116,Koi no tayori Yamato ōrai,Koi no tayori Yamato orai,恋飛脚大和往来,こいのたよりやまとおうらい,The Amorous Courier on the Yamato Highway,"Amorous Courier on the Yamato Highway, The",1773,"Keene, Donald, Bunraku: The Art of the Japanese Puppet Theatre (Tokyo: Kodansha International, 1973); Bunraku January 1982 Performance Program"
118,Ryūko,Ryuko,龍虎,りゅうこ,The Dragon and the Tiger,"Dragon and the Tiger, The",[n.d.],Bunraku January 1975 Performance Program
119,Ninin kamuro,Ninin kamuro,二人禿,ににんかむろ,Two Girl Attendants to a Courtesan,Two Girl Attendants to a Courtesan,1948,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku February 1975, December 1985 Performance Programs"
120,Hiyoshimaru wakaki no sakura,Hiyoshimaru wakaki no sakura,日吉丸稚桜,ひよしまるわかきのさくら,The Young Cherry Tree,"Young Cherry Tree, The",1801,Bunraku April 1975 Performance Program
121,Kume no sennin Yoshino zakura,Kume no sennin Yoshino zakura,粂仙人吉野花王,くめせんにんよしのざくら,The Enticed High Priest,"Enticed High Priest, The",1743,Bunraku April 1975 Performance Program
122,Seishū Akogigaura,Seishu Akogigaura,勢州阿漕浦,せいしゅうあこぎがうら,Akogi Bay in Ise Province,Akogi Bay in Ise Province,1741,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 23, June 1968; Bunraku August 1984 Performance Program"
125,Meiboku kasane monogatari,Meiboku kasane monogatari,薫樹累物語,めいぼくかさねものがたり,The Story of Kasane,"Story of Kasane, The",1790,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Heron Girl, The; Bunraku July 1988, July 2002 Performance Programs"
126,Bakekurabe ushimitsu no kane,Bakekurabe ushimitsu no kane,化競丑満鐘,ばけくらべうしみつのかね,The Story of Monsters,"Story of Monsters, The",1800,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 230, August 1984; Bunraku August 1984 Performance Program"
127,Yuki wa konkon sugata no mizuumi,Yuki wa konkon sugata no mizuumi,雪狐々姿湖,ゆきわこんこんすがたのみずうみ,The Hunter and the Female Fox,"Hunter and the Female Fox, The",1956,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Bunraku November 1985 Performance Program"
129,Ninin sanbasō,Ninin sanbaso,二人三番叟,ににんさんばそう,The Dance of Sambaso,"Dance of Sambaso, The",1766 (1878 under the present title),"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 177, May 1980"
130,Sanshō Dayu,Sansho Dayu,さんしょう太夫,さんしょうだゆう,Sansho Dayu,Sansho Dayu,1976,English title not available in any publications. Staged at August 1977 Sōsaku Bunraku performance; No English title available
131,Nami,Nami,波,なみ,Nami (The Wave),Nami (The Wave),[n.d.],English title not available in any publications. Staged at May 1978 Shinobukai performance; No English title available
133,Hatsuse mōde,Hatsuse mode,初瀬詣,はつせもうで,Hatsuse mode,Hatsuse mode,[n.d.],English title not available in any publications. Staged at May 1978 Shinobukai performance; No English title available
134,Omon Tōda,Omon Toda,おもん藤太,おもんとうだ,Omon Toda,Omon Toda,[n.d.],English title not available in any publications. Staged at May 1978 Shinobukai performance. Listed in Bunka dejitaru raiburarii; No English title available
135,Hachijin shugo no honjō,Hachijin shugo no honjo,八陣守護城,はちじんしゅごのほんじょう,Masakiyo's Loyalty,Masakiyo's Loyalty,1807,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 168, September 1979; Bunraku September 1979 Performance Program"
136,Matsukaze murasame sokutai kagami,Matsukaze murasame sokutai kagami,松風村雨束帯鑑,まつかぜむらさめそくたいかがみ,The Story of Matsukaza and Murasame,"Story of Matsukaza and Murasame, The",1705 or 1706,"Bunraku February 1986, November 1989 Performance Programs"
137,Ten no Amijima shigure no kotatsu,Ten no Amijima shigure no kotatsu,天網島時雨炬燵,てんのあみじましぐれのこたつ,The Love Suicide at Amijima,"Love Suicide at Amijima, The",1791,"Kokuritsu Bunraku Gekijō jōen shiryōshū, edited by Kokuritsu Bunraku Gekijō Chōsayōseika, vol. 8, April 1985; Bunraku April 1985, January 1994 Performance Programs"
138,Dangouri,Dangouri,団子売,だんごうり,The Dumpling Peddlers,"Dumpling Peddlers, The",1879,"Hironaga, Shūzaburō, The Bunraku Handbook (Tokyo: Maison des Arts, 1976); Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 218, September 1983; Bunraku September 1980 Performance Program"
139,Gotenjiku,Gotenjiku,五天竺,ごてんじく,Monkey,Monkey,1816,"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 194, September 1981 Program; Bunraku September 1985 Performance Program"
140,Kōjō,Kojo,口上,こうじょう,Kojo (Formal Announcement),Kojo (Formal Announcement),,
141,Yura no minamoto sengen chōja,Yura no minamoto sengen choja,由良湊千軒長者,ゆらのみなもとせんげんちょうじゃ,The Cruel Employer,"Cruel Employer, The",1761,Bunraku March 1988 Performance Program
