character_id,image_id
459,8754
459,8755
459,8756
476,8756
476,8757
459,8757
476,8758
459,8758
477,8759
476,8759
476,8760
459,8760
476,8761
459,8761
476,8762
474,8762
476,8763
474,8763
477,8763
476,8764
474,8764
474,8765
477,8765
476,8765
476,8766
474,8766
474,8767
476,8767
1263,8769
1269,8770
1269,8771
1262,8773
1267,8773
1265,8774
1262,8775
1263,8775
1262,8776
1263,8776
1264,8776
1262,8777
1262,8778
1269,8779
1267,8779
1262,8779
1269,8780
1267,8780
1262,8780
1267,8781
1269,8781
1267,8782
1269,8782
1270,8782
1270,8783
1269,8784
1269,8785
1269,8786
1269,8787
1262,8788
1262,8789
1262,8790
1262,8791
1262,8792
1269,8792
1262,8793
1269,8793
1269,8794
1262,8794
1269,8795
1262,8795
1269,8796
1262,8796
1269,8797
1262,8797
1262,8798
1269,8798
1269,8799
1262,8799
1269,8800
1262,8800
1269,8801
1267,8801
1270,8801
1269,8802
1270,8802
1269,8803
1270,8803
1269,8804
1270,8804
1269,8805
1262,8806
1269,8806
1269,8807
1262,8807
1262,8808
1269,8808
1262,8809
1269,8809
1269,8810
1262,8810
1269,8811
1262,8811
1269,8812
1262,8812
1269,8813
1262,8813
1269,8814
1262,8814
1269,8815
1262,8815
1269,8816
1262,8816
1269,8817
1262,8817
1262,8818
1269,8819
1262,8819
1269,8820
1262,8820
1287,8824
1288,8824
1286,8824
1287,8825
1287,8826
1288,8826
1286,8826
1289,8827
1289,8828
1289,8829
1285,8829
1290,8830
1285,8830
1289,8830
1291,8831
1285,8831
1285,8832
1289,8832
1289,8833
1289,8834
1285,8835
1289,8836
1285,8837
1289,8837
1285,8838
1289,8838
1285,8839
1289,8839
1285,8840
1291,8840
1285,8841
1289,8841
1291,8841
1290,8842
1291,8843
1285,8844
1285,8845
1285,8846
1291,8847
1289,8847
1292,8848
1292,8849
1292,8850
1292,8851
1292,8852
1285,8853
1292,8854
1285,8854
1292,8855
1289,8855
1285,8855
1289,8856
1289,8857
1291,8858
1294,8860
1293,8861
1293,8862
1296,8862
1292,8863
1292,8864
1293,8864
1292,8865
1293,8865
1289,8866
1292,8866
1292,8867
1289,8867
1292,8868
1289,8868
1294,8869
1292,8869
1293,8869
1294,8870
1292,8870
1293,8870
1292,8871
1293,8871
1289,8871
1289,8872
1292,8872
1292,8873
1289,8873
1292,8874
1289,8874
1292,8875
1292,8876
1289,8876
1292,8877
1289,8877
1292,8878
1289,8878
1292,8879
1289,8879
1292,8880
1289,8880
1292,8881
1289,8881
1289,8882
1292,8883
1292,8884
1292,8885
1292,8886
1292,8887
1292,8888
1292,8889
1289,8890
1292,8890
1292,8891
1289,8891
1289,8892
1292,8892
1292,8893
1289,8893
1292,8894
1289,8894
1292,8895
1289,8895
1289,8896
1292,8896
1289,8897
1292,8897
1292,8898
1289,8898
1289,8899
1292,8899
1289,8900
1292,8900
1289,8901
1292,8901
1289,8902
1292,8902
1289,8903
1292,8903
1289,8904
1292,8904
1289,8905
1292,8905
1299,8906
1299,8907
1289,8908
1292,8908
1289,8909
1292,8909
1289,8910
1292,8910
1292,8911
1289,8912
1292,8912
1289,8913
1292,8913
1289,8914
1292,8914
1289,8915
1292,8915
1289,8916
1292,8916
1289,8917
1292,8917
1292,8918
1292,8919
1289,8920
1289,8921
1292,8922
1289,8922
1292,8923
1289,8923
1292,8924
1289,8924
1292,8925
1289,8925
1292,8926
1289,8926
1292,8927
1289,8927
1292,8928
1289,8928
1292,8929
1289,8929
1292,8930
1289,8930
1292,8931
1289,8931
1292,8932
