subject_id,image_id
73,9568
17,9569
16,9569
17,9570
16,9570
17,9571
16,9571
40,9571
17,9572
16,9572
40,9572
17,9573
16,9573
40,9573
17,9574
16,9574
40,9574
17,9575
16,9575
40,9575
17,9576
16,9576
40,9576
17,9577
16,9577
40,9577
17,9578
16,9578
40,9578
17,9579
16,9579
40,9579
17,9580
16,9580
40,9580
17,9581
16,9581
40,9581
17,9582
16,9582
40,9582
17,9583
16,9583
40,9583
17,9584
16,9584
40,9584
17,9585
16,9585
40,9585
17,9586
16,9586
40,9586
17,9587
16,9587
40,9587
17,9588
16,9588
40,9588
17,9589
16,9589
40,9589
17,9590
16,9590
40,9590
17,9591
16,9591
40,9591
17,9592
16,9592
40,9592
17,9593
16,9593
40,9593
17,9594
16,9594
40,9594
17,9595
16,9595
40,9595
17,9596
16,9596
40,9596
17,9597
16,9597
40,9597
17,9598
16,9598
40,9598
17,9599
16,9599
40,9599
17,9600
16,9600
40,9600
17,9601
16,9601
40,9601
17,9602
16,9602
40,9602
17,9603
16,9603
40,9603
17,9604
16,9604
40,9604
17,9605
16,9605
40,9605
17,9606
16,9606
40,9606
17,9607
16,9607
40,9607
17,9608
16,9608
40,9608
17,9609
16,9609
17,9610
16,9610
17,9611
16,9611
17,9612
16,9612
17,9613
16,9613
17,9614
16,9614
17,9615
16,9615
17,9616
16,9616
17,9617
16,9617
17,9618
16,9618
16,9619
17,9619
16,9621
17,9621
73,9625
78,9625
73,9626
78,9626
19,9627
16,9628
17,9628
37,9632
37,9633
17,9633
37,9634
37,9635
17,9635
37,9636
37,9637
17,9637
37,9638
17,9639
37,9639
37,9640
73,9641
78,9641
37,9642
37,9643
17,9643
37,9644
61,9652
17,9653
61,9654
17,9655
61,9656
17,9657
61,9658
17,9659
17,9662
17,9665
16,9665
61,9666
64,9666
16,9667
17,9667
61,9668
64,9668
16,9669
17,9669
64,9670
61,9670
64,9671
61,9671
64,9672
61,9672
64,9673
61,9673
43,9674
43,9675
43,9676
43,9677
43,9678
43,9679
43,9680
43,9681
43,9682
43,9683
43,9684
43,9685
43,9686
43,9687
43,9688
43,9689
43,9690
43,9691
43,9692
43,9693
43,9694
43,9695
43,9696
43,9697
43,9698
43,9699
43,9700
43,9701
43,9702
43,9703
43,9704
43,9705
43,9706
43,9707
43,9708
43,9709
43,9710
43,9711
43,9712
43,9713
43,9714
17,9715
16,9715
70,9715
40,9715
73,9716
73,9718
73,9721
73,9726
73,9733
73,9751
73,9752
43,9954
43,9955
43,9956
73,9956
43,9957
73,9957
43,9958
73,9958
43,9959
73,9959
43,9960
73,9960
43,9961
43,9962
43,9963
73,9963
43,9964
43,9965
43,9966
43,9967
43,9968
43,9969
73,9969
43,9970
73,9970
43,9971
43,9972
43,9973
43,9974
73,9974
43,9975
43,9976
73,9976
43,9977
73,9977
43,9978
43,9979
43,9980
43,9981
43,9982
43,9983
43,9984
43,9985
43,9986
43,9987
78,9987
43,9988
43,9989
73,9989
43,9990
73,9990
43,9991
73,9991
43,9992
43,9993
43,9994
43,9995
43,9996
43,9997
43,9998
16,9999
17,9999
43,9999
16,10000
17,10000
43,10000
43,10001
43,10002
43,10003
43,10004
43,10005
73,10005
43,10006
43,10007
73,10007
43,10008
73,10008
43,10009
43,10010
24,10010
43,10011
73,10011
43,10012
24,10012
43,10013
24,10013
43,10014
43,10015
43,10016
43,10017
43,10018
43,10019
43,10020
43,10021
43,10022
43,10023
43,10024
43,10025
43,10026
43,10027
43,10028
73,10028
43,10029
73,10029
43,10030
43,10031
43,10032
43,10033
43,10034
43,10035
43,10036
43,10037
43,10038
73,10038
43,10039
73,10039
43,10040
43,10041
73,10041
43,10042
43,10043
43,10044
24,10055
24,10057
24,10059
24,10060
24,10061
24,10062
73,10063
24,10064
24,10065
24,10066
24,10067
24,10068
24,10069
24,10070
24,10071
24,10072
24,10073
73,10073
78,10073
24,10074
24,10077
24,10078
24,10082
73,10082
78,10082
24,10083
73,10083
78,10083
73,10084
78,10084
43,10085
73,10085
43,10086
73,10086
43,10087
73,10087
43,10088
73,10088
43,10089
43,10090
73,10090
43,10091
43,10092
73,10092
43,10093
73,10093
43,10094
43,10095
43,10096
43,10097
40,10098
70,10098
40,10099
70,10099
73,10099
16,10100
17,10100
73,10133
73,10134
43,10144
43,10145
43,10146
43,10147
73,10147
43,10148
73,10148
43,10149
43,10150
43,10151
43,10152
43,10153
43,10154
43,10155
43,10156
43,10157
73,10157
43,10158
73,10158
43,10159
73,10159
43,10160
43,10161
43,10162
43,10163
43,10164
43,10165
43,10166
43,10167
43,10168
43,10169
43,10170
40,10171
70,10171
73,10172
73,10173
73,10174
16,10190
17,10190
73,10191
43,10211
43,10212
43,10213
43,10214
73,10214
43,10215
73,10215
43,10216
73,10216
43,10217
43,10218
43,10219
43,10220
43,10221
73,10230
43,10233
73,10233
19,10274
19,10275
19,10276
19,10283
19,10284
19,10293
19,10295
19,10297
19,10301
19,10302
19,10303
19,10311
19,10312
19,10313
19,10314
19,10315
19,10316
19,10317
19,10320
19,10321
19,10322
19,10323
19,10324
19,10326
19,10329
19,10331
19,10332
19,10333
19,10334
19,10335
19,10336
19,10337
19,10339
19,10341
19,10344
19,10345
19,10346
19,10347
19,10353
19,10354
19,10357
19,10359
19,10361
19,10362
19,10363
19,10364
19,10365
19,10366
19,10367
19,10368
19,10369
16,10370
17,10370
16,10790
16,10791
19,10835
19,10836
19,10837
19,10838
19,10840
24,10896
24,10981
24,10982
24,10983
24,10999
24,11000
24,11001
40,11022
40,11023
40,11024
40,11025
40,11026
40,11027
40,11028
40,11029
40,11030
24,11106
24,11108
19,11108
24,11109
24,11110
24,11111
24,11112
19,11113
19,11115
19,11124
19,11135
19,11136
19,11137
19,11139
19,11143
19,11144
19,11145
19,11146
19,11147
19,11148
19,11149
19,11150
19,11151
19,11152
19,11153
19,11154
19,11155
19,11156
19,11157
19,11158
24,11159
24,11160
19,11161
24,11161
19,11162
19,11163
19,11164
78,11164
19,11165
19,11167
19,11168
19,11169
19,11170
19,11171
19,11172
19,11173
19,11174
78,11174
19,11188
19,11189
19,11200
19,11202
19,11212
19,11213
19,11216
19,11219
19,11220
19,11222
19,11225
19,11228
19,11229
19,11231
19,11234
19,11235
19,11241
19,11246
19,11247
19,11248
19,11249
19,11250
19,11251
19,11252
19,11253
19,11254
19,11255
19,11256
19,11257
19,11258
19,11259
19,11260
19,11261
19,11262
19,11263
19,11264
19,11265
19,11266
19,11267
19,11268
19,11269
19,11270
19,11271
19,11272
19,11273
19,11274
19,11275
19,11276
19,11277
19,11278
19,11279
19,11280
19,11281
19,11282
32,11300
19,11300
40,11300
32,11301
19,11301
40,11301
32,11302
19,11302
40,11302
32,11304
19,11304
40,11304
19,11306
40,11306
32,11307
19,11307
40,11307
32,11308
19,11308
40,11308
19,11310
40,11310
19,11311
40,11311
32,11312
19,11312
40,11312
40,11355
19,11365
54,11365
16,11366
17,11366
19,11388
19,11389
19,11390
19,11391
19,11392
19,11393
19,11394
19,11395
19,11396
19,11397
19,11398
19,11399
19,11400
19,11401
19,11402
19,11403
19,11404
19,11405
19,11406
19,11407
19,11408
19,11409
19,11410
19,11411
19,11412
19,11413
19,11414
19,11415
19,11416
19,11417
19,11418
19,11419
19,11420
19,11421
19,11422
19,11423
