id,pscene_id,narrator_id,tayusub_id,tayu_description,sortorder
1632,791,53,0,"Shihei, Minister of the Left",4
1633,791,57,0,Sugiomaru,5
1634,792,63,0,,1
1635,793,9,0,,1
1636,794,34,0,,1
1637,795,31,0,,1
1638,796,33,0,Akoya,1
1639,796,34,0,Shigetada,2
1640,796,5,0,Iwanaga,3
1641,796,55,0,Hanzawa,4
1642,797,66,0,,1
1643,798,53,0,Part 1,1
1644,798,2,0,Kiri [Part 2],2
1645,799,29,0,,1
1646,800,6,0,,1
1647,801,6,0,,1
1648,802,29,0,Osai,1
1649,802,54,0,Gonza,2
1650,802,55,0,Ichinoshin,3
1651,802,58,0,"Jinnai, a servant",4
1652,802,59,0,Dancer,5
1653,802,73,0,Dancer,6
1654,803,101,0,,1
1655,803,58,0,,2
1656,803,73,0,,3
1657,803,59,0,,4
1658,803,35,0,,5
1659,804,68,0,,1
1660,805,6,0,,1
1661,806,5,0,,1
1662,806,34,0,,2
1663,807,63,0,,1
1664,808,2,0,,1
1665,809,101,0,,1
1666,809,58,0,,2
1667,809,59,0,,3
1668,809,73,0,,4
1669,809,57,0,,5
1670,809,56,0,,6
1671,809,35,,,7
1672,809,55,,,8
1673,809,54,,,9
1674,810,101,0,,1
1675,810,58,0,,2
1676,810,59,0,,3
1677,810,73,0,,4
1678,810,57,0,,5
1679,810,56,0,,6
1680,810,35,,,7
1681,810,55,,,8
1682,810,54,,,9
1683,811,56,57,Naka [Part 1],1
1684,811,63,0,Oku [Part2],2
1685,812,9,0,,1
1686,813,35,0,Naka [Part 1],1
1687,813,6,0,Oku [Part2],2
1688,814,33,0,,1
1689,815,54,0,Kuchi [Part 1],1
1690,815,9,0,Oku [Part2],2
1691,816,63,0,,1
1692,817,53,0,Naka [Part 1],1
1693,817,29,0,Tsugi [Part 2],2
1694,817,2,0,Kiri [Part 3],3
1695,818,68,0,Naka [Part 1],1
1696,818,34,0,Oku [Part2],2
1697,819,5,0,,1
1698,820,66,0,,1
1699,821,55,0,Naka [Part 1],1
1700,821,1,0,Tsugi [Part 2],2
1701,822,31,0,,1
1702,823,68,0,,1
1703,824,29,0,Miyuki,1
1704,824,53,0,Sekisuke,2
1705,824,56,0,Tsure [narrative/assistant narrator],3
1706,824,57,0,Tsure [narrative/assistant narrator],4
1707,825,0,0,,1
1708,826,66,0,Saigyo,1
1709,826,29,0,Nun,2
1710,826,68,0,Woman,3
1711,826,56,0,Child,4
1712,826,57,0,Child,5
1713,826,73,0,Child,6
1714,826,59,,Child,7
1715,2669,33,0,Shizuka-Gozen,1
1716,2669,31,0,"Tadanobu Sato, in fact Fox Tadanobu",2
1717,2669,63,0,Tsure [narrative/assistant narrator],3
1718,2669,5,0,Tsure [narrative/assistant narrator],4
1719,2669,54,0,,5
1720,828,66,0,,1
1721,829,53,0,,1
1722,830,55,0,,1
1723,830,9,0,,2
1724,831,6,0,,1
1725,832,54,0,,1
1726,832,2,0,,2
1727,833,66,0,Benkei,1
1728,833,34,0,Togashi,2
1729,833,53,0,Yoshitsune,3
1730,833,35,0,Saburo Ise,4
1731,833,57,0,Jiro Suruga,5
1732,833,73,0,Hachiro Kataoka,6
1733,833,59,,Hitachibo,7
1734,833,58,,Barrier Guards,8
1735,833,101,,Barrier Guards,9
1736,834,5,0,,1
1737,834,31,0,,2
1738,835,1,0,Giheiji,1
1739,835,29,0,Danshichi,2
1740,836,63,0,,1
1741,837,33,0,,1
1742,838,68,0,Ohatsu,1
1743,838,63,0,Tokubei,2
1744,838,2,0,Tsure [narrative/assistant narrator],3
1745,838,58,0,Tsure [narrative/assistant narrator],4
1746,838,59,0,Tsure [narrative/assistant narrator],5
1747,838,101,0,Tsure [narrative/assistant narrator],6
1748,839,5,0,Benkei,1
1749,839,54,0,Ushiwakamaru,2
1750,839,73,0,,3
1751,839,101,0,,4
1752,840,53,0,Hatsuemon,1
1753,840,68,0,Iheita,2
1754,840,9,0,Okishi,3
1755,840,35,0,Kikuno,4
1756,840,56,0,Nisaburo,5
