scene_id,scene_code,scene_order,label_ja,label_ja_sort,label_eng,label_ka,play_id,authority_control
78,Goshozakura-01,084,Jijū Tarō yakata,Jiju Taro yakata [Goshozakura],The House of Jiju Taro,侍従太郎館,66,April 1985 Program
79,Goshozakura-02,085,Benkei jōshi,Benkei joshi [Goshozakura],The Visit of Benkei,弁慶上使,66,April 1985 Program
80,Gotaiheiki-01,086,Myōjin mori,Myojin mori [Gotaiheiki],The Forest of the Myojin Shrine,明神森,22,May 1971 Program
81,Gotaiheiki-02,087,Taue,Taue [Gotaiheiki],Rice Planting,田植,22,May 1971 Program
82,Gotaiheiki-03,088,Sakaimura,Sakaimura [Gotaiheiki],The Village of Sakai,逆井村,22,May 1971 Program
83,Gotaiheiki-04,089,Kaminarimon,Kaminarimon [Gotaiheiki],The Kaminari Gate,雷門,22,May 1971 Program
84,Gotaiheiki-05,090,Ageya,Ageya [Gotaiheiki],The Tea House,揚屋,22,May 1971 Program
85,Gotenjiku-01,091,Watashiba,Watashiba [Gotenjiku],The Ferry,渡し場,139,September 1985 Program
86,Gotenjiku-02,092,Hakuren kowakare,Hakuren kowakare [Gotenjiku],Hakuren Parts with Her Baby,白蓮子別れ,139,September 1985 Program
87,Gotenjiku-03,093,Jigoku,Jigoku [Gotenjiku],The Hell,地獄,139,September 1985 Program
88,Gotenjiku-04,094,Kinzanji,Kinzanji [Gotenjiku],The Kinzanji Temple,径山寺,139,September 1985 Program
89,Gotenjiku-05,095,Kamairi,Kamairi [Gotenjiku],The Caldron,釜煮,139,September 1985 Program
90,Gotenjiku-06,096,Hitotsuya,Hitotsuya [Gotenjiku],The Isolated House,一つ家,139,September 1985 Program
91,Gotenjiku-07,097,Ryūsagawa,Ryusagawa [Gotenjiku],The River Ryusa,流沙川,139,September 1985 Program
92,Gotenjiku-08,098,Gion shōja,Gion shoja [Gotenjiku],The Buddha's Temple,祇園精舎,139,September 1985 Program
93,Hachijin-01,099,Monzen,Monzen [Hachijin],In Front of the Gate,門前,135,September 1979 Program
94,Hachijin-02,100,Dokushu,Dokushu [Hachijin],The Poisoned Sake,毒酒,135,September 1979 Program
95,Hachijin-03,101,Naniwa irie,Naniwa irie [Hachijin],The Port of Naniwa,浪花入江,135,September 1979 Program
96,Hachijin-04,102,Kazuenosuke hayauchi,Kazuenosuke hayauchi [Hachijin],Kazuenosuke's Urgent Call,主計之介早討,135,September 1979 Program
97,Hachijin-05,103,Masakiyo honjō,Masakiyo honjo [Hachijin],Masakiyo's Castle,正清本城,135,September 1979 Program
98,Hadekurabe-01,104,Tamamizu no fuchi,Tamamizu no fuchi [Hadekurabe],Tamamizu Pond,玉水淵,114,July 1987 Program
99,Hadekurabe-02,105,Kasugamura,Kasugamura [Hadekurabe],Kasuga Village,春日村,114,September 1987 Program
100,Hadesugata-01,106,Nagamachi minoya,Nagamachi minoya [Hadesugata],Sankatsu's House,長町美濃屋,82,July 1974 Program
101,Hadesugata-02,107,Sakaya,Sakaya [Hadesugata],The Sake Shop,酒屋,82,July 1974 Program
