id,dates,label_eng,label_ka,play_id,reference,sort_ja
101,nan,Kako Chika,加古千賀,"[60, 68]","壺阪霊験記 / 加古千賀著, 大坂 : 竹中清助, [1891], from NACSIS record; Tsubosaka Kannon Reigenki, Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 246, December 1985; Traditional Japanese Theater: An Anthology of Plays, edited by Karen",かこちか
102,nan,Ōno Keizō,大野惠造,[118],NACSIS 龍虎 : 劇詩集 / 大野惠造 [著],おおのけいぞう
104,nan,Toyota Shōzō,豊田正蔵,[122],August 1984 Seishu Akogigaura,とよたしょうぞう
105,nan,Ogawa Hanbei,小川半平,[56],"竹本座浄瑠璃集 / 平田澄子, 東京 : 国書刊行会, 1988-1996, from NACSIS record",おがわはんべい
106,nan,Fukuuchi Kigai,福内鬼外,[55],Shinrei Yaguchi no Watashi,ふくうちきがい
107,nan,Takemoto Nishikidayū,竹本錦太夫,[184],Shitakiri Suzume,たけもとにしきだゆう
108,1886-1965,Tanizaki Junichirō,谷崎潤一郎,[152],LC,たにざきじゅんいちろう
109,nan,Tsukuda Heishichi,筑田平七,[101],Taiheiki Chūshin Kōshaku November 1993 Program,つくだへいしち
110,nan,Takami Jun,高見順,[127],nan,たかみじゅん
111,nan,Ariyoshi Sawako,有吉佐和子,[127],nan,ありよしさわこ
112,nan,Takeshiba Genzō,竹柴諺蔵,[98],"September 1977 Zōhō Chūshingura Program. LC Authorities: ?Katsu, Genzo, 1844-1902",たけしばげんぞう
113,nan,Tamekawa Sōsuke,為川宗輔,[6],"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 206, September 1982; July 1989 Program",ためかわそうすけ
114,nan,Tsutsukawa Hanji,筒川半二,[6],"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 206, September 1982; NACSIS for furigana",つつかわはんじ
115,nan,"Toyozawa Danpei, II",豊沢団平,[60],"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 246, December 1985",とよざわだんぺい
